Frame id,timestamp,hands,fingers,tools,gestures,handType,handID,handPalmPosition,pitch,roll,yaw,armDirection,wristPosition,elbowPosition,ToolID,ToolTipPosition,ToolDirection,GestureID,GestureType,GestureCircleClockwiseness,GestureCircleSweptAngle,GestureCircleProgress,GestureCircleRadius,GestureStateNames,SwipePosition,SwipeDirection,SwipeSpeed,KeytapPosition,KeytapDirection,ScreentapPosition,ScreentapDirection,ThumbID,ThumbLength,ThumbWidth,IndexID,IndexLength,IndexWidth,MiddleID,MiddleLength,MiddleWidth,RingID,RingLength,RingWidth,PinkyID,PinkyLength,PinkyWidth,ThumbMetacarpalStart,ThumbMetacarpalEnd,ThumbMetacarpalDirection,ThumbProximalStart,ThumbProximalEnd,ThumbProximalDirection,ThumbIntermediateStart,ThumbIntermediateEnd,ThumbIntermediateDirection,ThumbDistalStart,ThumbDistalEnd,ThumbDistalDirection,IndexMetacarpalStart,IndexMetacarpalEnd,IndexMetacarpalDirection,IndexProximalStart,IndexProximalEnd,IndexProximalDirection,IndexIntermediateStart,IndexIntermediateEnd,IndexIntermediateDirection,IndexDistalStart,IndexDistalEnd,IndexDistalDirection,MiddleMetacarpalStart,MiddleMetacarpalEnd,MiddleMetacarpalDirection,MiddleProximalStart,MiddleProximalEnd,MiddleProximalDirection,MiddleIntermediateStart,MiddleIntermediateEnd,MiddleIntermediateDirection,MiddleDistalStart,MiddleDistalEnd,MiddleDistalDirection,RingMetacarpalStart,RingMetacarpalEnd,RingMetacarpalDirection,RingProximalStart,RingProximalEnd,RingProximalDirection,RingIntermediateStart,RingIntermediateEnd,RingIntermediateDirection,RingDistalStart,RingDistalEnd,RingDistalDirection,PinkyMetacarpalStart,PinkyMetacarpalEnd,PinkyMetacarpalDirection,PinkyProximalStart,PinkyProximalEnd,PinkyProximalDirection,PinkyIntermediateStart,PinkyIntermediateEnd,PinkyIntermediateDirection,PinkyDistalStart,PinkyDistalEnd,PinkyDistalDirection
76335,30328620037,1,5,0,0,Right hand,158,"(58.3492, 165.42, -2.78207)",6.599015091280336,-8.113063569157077,-9.07907004135268,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x1149DBA8> >,)","(81.3494, 156.251, 62.203)","(225.736, 29.593, 219.845)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,45.71449661254883,16.92637825012207,1581,51.583709716796875,16.168075561523438,1582,58.77549743652344,15.879199028015137,1583,56.51420974731445,15.110064506530762,1584,44.306095123291016,13.421939849853516,"(47.0064, 155.918, 51.7942)","(47.0064, 155.918, 51.7942)","(0, 0, 0)","(47.0064, 155.918, 51.7942)","(11.4002, 159.902, 23.0426)","(0.775087, -0.0867381, 0.625873)","(11.4002, 159.902, 23.0426)","(-9.38312, 160.413, 1.54272)","(0.694922, -0.0170678, 0.718883)","(-9.38312, 160.413, 1.54272)","(-22.8023, 160.107, -13.9899)","(0.653678, 0.0148873, 0.756626)","(55.2566, 173.859, 42.5413)","(32.4978, 172.837, -21.2447)","(0.336011, 0.0150794, 0.941737)","(32.4978, 172.837, -21.2447)","(22.32, 174.753, -57.4787)","(0.270074, -0.0508349, 0.961497)","(22.32, 174.753, -57.4787)","(16.1351, 168.878, -76.8882)","(0.291724, 0.277101, 0.915485)","(16.1351, 168.878, -76.8882)","(11.914, 160.331, -88.4528)","(0.281655, 0.570292, 0.771646)","(65.7221, 174.258, 38.2234)","(52.575, 172.305, -24.6187)","(0.20468, 0.0303989, 0.978357)","(52.575, 172.305, -24.6187)","(47.6892, 176.212, -66.4329)","(0.115561, -0.0924173, 0.988992)","(47.6892, 176.212, -66.4329)","(42.9241, 171.419, -90.443)","(0.191034, 0.192176, 0.962587)","(42.9241, 171.419, -90.443)","(38.7313, 163.443, -104.246)","(0.254361, 0.483856, 0.837367)","(76.404, 172.02, 35.2835)","(73.1675, 169.147, -22.2238)","(0.0561204, 0.0498278, 0.99718)","(73.1675, 169.147, -22.2238)","(75.9571, 172.874, -61.1375)","(-0.0711777, -0.0951061, 0.992919)","(75.9571, 172.874, -61.1375)","(75.6755, 169.4, -85.1853)","(0.0115899, 0.142989, 0.989656)","(75.6755, 169.4, -85.1853)","(74.0495, 163.052, -100.207)","(0.099213, 0.387343, 0.916582)","(86.4628, 163.644, 34.8993)","(91.168, 162.18, -18.2572)","(-0.0881382, 0.0274273, 0.995731)","(91.168, 162.18, -18.2572)","(100.405, 164.047, -47.8067)","(-0.297814, -0.0601959, 0.952724)","(100.405, 164.047, -47.8067)","(103.336, 160.955, -64.4255)","(-0.17085, 0.180217, 0.968676)","(103.336, 160.955, -64.4255)","(103.732, 154.683, -78.1769)","(-0.0261669, 0.414839, 0.909519)"
76342,30328746346,1,5,0,0,Right hand,158,"(58.8529, 165.047, -3.91061)",6.095093119944721,-8.541263501149103,-9.134736083738062,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114BB0E0> >,)","(81.8745, 156.122, 61.2255)","(223.491, 24.9101, 218.546)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,45.696170806884766,16.971696853637695,1581,51.56303024291992,16.21136474609375,1582,58.75193786621094,15.921714782714844,1583,56.491554260253906,15.150521278381348,1584,44.288333892822266,13.457877159118652,"(47.5227, 156.155, 50.904)","(47.5227, 156.155, 50.904)","(0, 0, 0)","(47.5227, 156.155, 50.904)","(11.8394, 159.982, 22.0597)","(0.775004, -0.0831163, 0.626467)","(11.8394, 159.982, 22.0597)","(-8.93574, 160.328, 0.565369)","(0.694928, -0.0115898, 0.718985)","(-8.93574, 160.328, 0.565369)","(-22.1915, 159.773, -15.0892)","(0.645978, 0.0270643, 0.762876)","(55.9022, 173.981, 41.4227)","(32.9619, 172.488, -22.4391)","(0.337986, 0.021994, 0.940894)","(32.9619, 172.488, -22.4391)","(22.2556, 173.818, -58.531)","(0.284213, -0.0353108, 0.958111)","(22.2556, 173.818, -58.531)","(15.7437, 167.131, -77.5579)","(0.307268, 0.315512, 0.897797)","(15.7437, 167.131, -77.5579)","(11.3704, 157.834, -88.4603)","(0.291927, 0.620601, 0.727759)","(66.3873, 174.259, 37.0713)","(53.0735, 171.771, -25.8538)","(0.206845, 0.0386558, 0.97761)","(53.0735, 171.771, -25.8538)","(47.8951, 175.07, -67.668)","(0.122529, -0.078062, 0.98939)","(47.8951, 175.07, -67.668)","(42.8465, 169.668, -91.4799)","(0.202484, 0.216643, 0.955021)","(42.8465, 169.668, -91.4799)","(38.4097, 161.06, -104.811)","(0.269271, 0.522419, 0.809056)","(77.0726, 171.908, 34.1278)","(73.6935, 168.476, -23.4613)","(0.0584716, 0.0593768, 0.996522)","(73.6935, 168.476, -23.4613)","(76.3429, 171.421, -62.4361)","(-0.0676303, -0.0751688, 0.994875)","(76.3429, 171.421, -62.4361)","(75.8524, 167.265, -86.3622)","(0.0201931, 0.171124, 0.985043)","(75.8524, 167.265, -86.3622)","(73.9635, 160.24, -101.041)","(0.115305, 0.428769, 0.896026)","(87.0924, 163.434, 33.8084)","(91.6904, 161.399, -19.4506)","(-0.085952, 0.0380367, 0.995573)","(91.6904, 161.399, -19.4506)","(100.86, 162.497, -49.0465)","(-0.295762, -0.0354207, 0.954605)","(100.86, 162.497, -49.0465)","(103.676, 158.939, -65.5846)","(-0.164221, 0.207467, 0.964359)","(103.676, 158.939, -65.5846)","(103.805, 152.119, -79.0711)","(-0.00852674, 0.451256, 0.892354)"
76348,30328870446,1,5,0,0,Right hand,158,"(60.5679, 166.077, -5.31273)",5.916852074396672,-9.12182104964046,-8.734247083305888,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114BB230> >,)","(83.0717, 157.192, 60.1032)","(221.028, 24.6608, 220.027)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,45.71443557739258,17.032482147216797,1581,51.583641052246094,16.269428253173828,1582,58.775421142578125,15.978739738464355,1583,56.51413345336914,15.20478343963623,1584,44.30603790283203,13.506077766418457,"(48.8118, 157.554, 49.5418)","(48.8118, 157.554, 49.5418)","(0, 0, 0)","(48.8118, 157.554, 49.5418)","(13.3996, 160.462, 20.1719)","(0.768186, -0.0631012, 0.63711)","(13.3996, 160.462, 20.1719)","(-7.15386, 160.176, -1.55186)","(0.687237, 0.00956936, 0.72637)","(-7.15386, 160.176, -1.55186)","(-20.0892, 159.055, -17.4531)","(0.63011, 0.0546154, 0.774583)","(57.4457, 175.266, 40.0142)","(34.8344, 173.715, -24.0493)","(0.332742, 0.0228222, 0.942742)","(34.8344, 173.715, -24.0493)","(24.0972, 174.36, -60.1665)","(0.284919, -0.0171169, 0.958399)","(24.0972, 174.36, -60.1665)","(17.518, 166.72, -78.8169)","(0.310322, 0.360365, 0.87968)","(17.518, 166.72, -78.8169)","(13.1822, 156.461, -88.8451)","(0.289307, 0.684512, 0.669137)","(67.9712, 175.412, 35.7177)","(54.9811, 172.767, -27.347)","(0.201576, 0.0410503, 0.978612)","(54.9811, 172.767, -27.347)","(49.87, 175.355, -69.2365)","(0.120886, -0.0612152, 0.990777)","(49.87, 175.355, -69.2365)","(44.632, 168.929, -92.7617)","(0.21, 0.257638, 0.943145)","(44.632, 168.929, -92.7617)","(39.9876, 159.366, -105.359)","(0.281757, 0.580157, 0.764219)","(78.6608, 172.931, 32.8443)","(75.5755, 169.26, -24.8157)","(0.0533245, 0.0634369, 0.99656)","(75.5755, 169.26, -24.8157)","(78.3208, 171.267, -63.8591)","(-0.0700489, -0.0511903, 0.996229)","(78.3208, 171.267, -63.8591)","(77.5552, 165.854, -87.5354)","(0.0315074, 0.222733, 0.97437)","(77.5552, 165.854, -87.5354)","(75.2935, 157.714, -101.579)","(0.138001, 0.496695, 0.856884)","(88.6035, 164.339, 32.6226)","(93.4941, 162.002, -20.6619)","(-0.0913103, 0.0436298, 0.994866)","(93.4941, 162.002, -20.6619)","(102.848, 162.223, -50.2326)","(-0.3016, -0.00712717, 0.953408)","(102.848, 162.223, -50.2326)","(105.428, 157.764, -66.5969)","(-0.150337, 0.259957, 0.953845)","(105.428, 157.764, -66.5969)","(105.054, 149.973, -79.5497)","(0.024691, 0.515235, 0.856693)"
76359,30329084093,1,5,0,0,Right hand,158,"(60.9227, 161.956, -14.4214)",8.420755057121312,-12.221129558511734,-2.7903037035803635,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114BB848> >,)","(77.5675, 150.351, 52.7943)","(217.672, 28.8667, 221.218)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,46.21271514892578,17.14065170288086,1581,52.14589309692383,16.372751235961914,1582,59.41605758666992,16.080217361450195,1583,57.130126953125,15.301345825195312,1584,44.788963317871094,13.591851234436035,"(43.3037, 152.232, 38.9175)","(43.3037, 152.232, 38.9175)","(0, 0, 0)","(43.3037, 152.232, 38.9175)","(12.7784, 162.095, 5.51227)","(0.659094, -0.212959, 0.721279)","(12.7784, 162.095, 5.51227)","(-5.40044, 167.001, -18.1418)","(0.601286, -0.162272, 0.782383)","(-5.40044, 167.001, -18.1418)","(-18.839, 171.205, -33.3864)","(0.647566, -0.20256, 0.734594)","(53.94, 169.754, 30.9476)","(37.5422, 171.956, -35.2779)","(0.240222, -0.0322677, 0.970181)","(37.5422, 171.956, -35.2779)","(32.8788, 179.24, -72.3789)","(0.122413, -0.191191, 0.97389)","(32.8788, 179.24, -72.3789)","(29.5421, 179.654, -93.5459)","(0.155686, -0.0193009, 0.987618)","(29.5421, 179.654, -93.5459)","(26.795, 177.615, -108.305)","(0.181323, 0.134566, 0.974174)","(64.8749, 169.366, 27.6636)","(57.9126, 169.808, -36.693)","(0.107554, -0.00683154, 0.994176)","(57.9126, 169.808, -36.693)","(59.3574, 177.374, -78.7335)","(-0.0338036, -0.177028, 0.983625)","(59.3574, 177.374, -78.7335)","(58.6265, 177.51, -103.938)","(0.0289864, -0.00539606, 0.999565)","(58.6265, 177.51, -103.938)","(57.1123, 174.734, -120.298)","(0.0908713, 0.166617, 0.981825)","(75.6727, 166.283, 25.7084)","(78.0026, 164.859, -32.3474)","(-0.0400874, 0.0244976, 0.998896)","(78.0026, 164.859, -32.3474)","(85.3228, 170.442, -70.8813)","(-0.184768, -0.14092, 0.972626)","(85.3228, 170.442, -70.8813)","(88.3281, 170.344, -95.2605)","(-0.122347, 0.004011, 0.992479)","(88.3281, 170.344, -95.2605)","(89.1811, 167.687, -111.591)","(-0.0514871, 0.160353, 0.985716)","(85.0893, 157.033, 26.0768)","(95.0324, 156.269, -26.792)","(-0.184813, 0.0142097, 0.982671)","(95.0324, 156.269, -26.792)","(107.956, 158.8, -55.2461)","(-0.412181, -0.0807178, 0.907519)","(107.956, 158.8, -55.2461)","(113.684, 157.796, -71.5853)","(-0.330284, 0.0578715, 0.942106)","(113.684, 157.796, -71.5853)","(117.041, 154.39, -86.1021)","(-0.21964, 0.222839, 0.94979)"
76375,30329261791,1,5,0,0,Right hand,158,"(-20.1395, 161.554, 7.32581)",22.29081951279511,-133.9271294504806,-56.15323295437747,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114CA350> >,)","(35.1063, 139.139, 44.5601)","(229.436, 109.823, 198.989)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,46.350921630859375,17.214035034179688,1581,52.301841735839844,16.442846298217773,1582,59.593753814697266,16.149059295654297,1583,57.30098342895508,15.366853713989258,1584,44.922908782958984,13.650040626525879,"(28.1232, 169.278, 36.4196)","(28.1232, 169.278, 36.4196)","(0, 0, 0)","(28.1232, 169.278, 36.4196)","(24.003, 204.149, 6.38045)","(0.0891649, -0.754631, 0.650063)","(24.003, 204.149, 6.38045)","(8.50269, 223.599, -10.9685)","(0.51116, -0.641397, 0.572124)","(8.50269, 223.599, -10.9685)","(-6.97367, 233.82, -20.4159)","(0.743536, -0.491063, 0.453885)","(24.8229, 157.441, 18.2392)","(-28.6948, 186.369, -12.3669)","(0.785859, -0.424789, 0.449422)","(-28.6948, 186.369, -12.3669)","(-51.9917, 191.644, -42.1898)","(0.609713, -0.138046, 0.780508)","(-51.9917, 191.644, -42.1898)","(-66.6392, 195.74, -57.3812)","(0.681386, -0.190534, 0.706689)","(-66.6392, 195.74, -57.3812)","(-78.9111, 200.265, -65.116)","(0.807602, -0.297788, 0.509019)","(18.8808, 147.713, 18.2221)","(-36.1322, 167.549, -9.18122)","(0.851832, -0.307142, 0.424318)","(-36.1322, 167.549, -9.18122)","(-66.2657, 169.9, -39.5806)","(0.702934, -0.0548429, 0.709137)","(-66.2657, 169.9, -39.5806)","(-84.8103, 172.083, -56.6377)","(0.733262, -0.0863426, 0.674442)","(-84.8103, 172.083, -56.6377)","(-98.8447, 175.802, -64.9165)","(0.839722, -0.22248, 0.495349)","(13.1416, 138.349, 21.1768)","(-39.442, 148.337, -1.12415)","(0.906867, -0.17225, 0.384606)","(-39.442, 148.337, -1.12415)","(-68.6143, 146.229, -28.0231)","(0.734136, 0.053049, 0.676927)","(-68.6143, 146.229, -28.0231)","(-88.1042, 146.496, -43.092)","(0.791072, -0.0108272, 0.611627)","(-88.1042, 146.496, -43.092)","(-102.736, 148.895, -50.5941)","(0.880525, -0.144413, 0.451465)","(7.51214, 130.989, 30.5427)","(-42.2383, 132.492, 10.4517)","(0.926882, -0.0280011, 0.374308)","(-42.2383, 132.492, 10.4517)","(-63.8267, 123.712, -10.6624)","(0.68649, 0.279181, 0.671409)","(-63.8267, 123.712, -10.6624)","(-77.3784, 120.625, -21.1225)","(0.779055, 0.177437, 0.601323)","(-77.3784, 120.625, -21.1225)","(-91.0116, 120.569, -28.1325)","(0.889319, 0.00367785, 0.457272)"
76388,30329374440,1,5,0,0,Right hand,158,"(-60.2415, 200.072, 38.5892)",42.04863602156706,-172.32230065745625,-70.45141452599864,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114CA4A0> >,)","(0.0151686, 172.442, 62.3335)","(219.881, 105.967, 160.722)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,46.27775192260742,17.249605178833008,1581,52.21928024291992,16.476821899414062,1582,59.49967575073242,16.18242835998535,1583,57.21052932739258,15.39860725402832,1584,44.851993560791016,13.67824649810791,"(-4.60935, 202.607, 50.0958)","(-4.60935, 202.607, 50.0958)","(0, 0, 0)","(-4.60935, 202.607, 50.0958)","(-17.2303, 237.912, 23.1057)","(0.273194, -0.764228, 0.584226)","(-17.2303, 237.912, 23.1057)","(-31.1853, 260.853, 9.11997)","(0.460928, -0.757729, 0.461945)","(-31.1853, 260.853, 9.11997)","(-46.4853, 274.373, 5.2455)","(0.736223, -0.650552, 0.186437)","(-15.2086, 188.885, 36.6553)","(-71.1408, 222.569, 17.3447)","(0.821479, -0.494707, 0.283614)","(-71.1408, 222.569, 17.3447)","(-102.201, 235.198, -0.852003)","(0.814182, -0.331044, 0.476988)","(-102.201, 235.198, -0.852003)","(-120.023, 245.693, -6.58575)","(0.830351, -0.489027, 0.267151)","(-120.023, 245.693, -6.58575)","(-131.983, 255.01, -7.14161)","(0.788366, -0.614115, 0.0366386)","(-22.1317, 180.67, 40.4568)","(-79.6982, 206.385, 26.5278)","(0.89155, -0.398249, 0.215722)","(-79.6982, 206.385, 26.5278)","(-117.918, 216.611, 10.2018)","(0.892982, -0.238919, 0.381445)","(-117.918, 216.611, 10.2018)","(-140.267, 227.315, 5.34724)","(0.885057, -0.423925, 0.192256)","(-140.267, 227.315, 5.34724)","(-153.313, 237.647, 6.56722)","(0.781849, -0.619167, -0.073111)","(-27.856, 173.248, 46.8918)","(-82.8758, 189.787, 39.1441)","(0.949073, -0.285305, 0.133646)","(-82.8758, 189.787, 39.1441)","(-120.455, 195.208, 27.6343)","(0.947191, -0.136623, 0.29011)","(-120.455, 195.208, 27.6343)","(-143.312, 204.047, 25.5122)","(0.929218, -0.35932, 0.0862673)","(-143.312, 204.047, 25.5122)","(-156.705, 213.508, 28.039)","(0.807221, -0.570262, -0.152298)","(-31.1309, 168.776, 58.8406)","(-83.9688, 176.909, 54.166)","(0.984602, -0.151565, 0.0871074)","(-83.9688, 176.909, 54.166)","(-114.61, 174.524, 47.7424)","(0.975895, 0.0759705, 0.20459)","(-114.61, 174.524, 47.7424)","(-131.621, 177.995, 47.279)","(0.97947, -0.199819, 0.0266811)","(-131.621, 177.995, 47.279)","(-144.925, 185.136, 49.7815)","(0.86924, -0.466571, -0.163504)"
76400,30329478824,1,5,0,0,Right hand,158,"(-69.5863, 201.161, 49.7711)",41.64307987448524,-170.92025404978358,-72.1497342527573,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114D9080> >,)","(-7.90548, 175.587, 71.9367)","(214.876, 124.593, 172.964)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,46.2737922668457,17.25153160095215,1581,52.214813232421875,16.478662490844727,1582,59.49458694458008,16.184236526489258,1583,57.20563507080078,15.4003267288208,1584,44.84815979003906,13.679774284362793,"(-13.9065, 205.544, 60.4587)","(-13.9065, 205.544, 60.4587)","(0, 0, 0)","(-13.9065, 205.544, 60.4587)","(-27.1137, 243.421, 37.5441)","(0.285886, -0.8199, 0.496017)","(-27.1137, 243.421, 37.5441)","(-40.7752, 267.846, 26.0007)","(0.451272, -0.806821, 0.381304)","(-40.7752, 267.846, 26.0007)","(-54.8106, 282.769, 22.5226)","(0.675435, -0.718173, 0.167377)","(-24.1868, 191.863, 46.7323)","(-81.7372, 223.897, 29.4825)","(0.845253, -0.470489, 0.253351)","(-81.7372, 223.897, 29.4825)","(-115.549, 239.125, 20.5391)","(0.886378, -0.399207, 0.234453)","(-115.549, 239.125, 20.5391)","(-133.249, 251.138, 22.264)","(0.824768, -0.559729, -0.0803775)","(-133.249, 251.138, 22.264)","(-142.522, 261.093, 28.9749)","(0.611264, -0.656248, -0.442375)","(-30.7117, 183.255, 50.3633)","(-89.4852, 207.086, 38.2467)","(0.910254, -0.369085, 0.187656)","(-89.4852, 207.086, 38.2467)","(-129.171, 220.232, 29.0951)","(0.927315, -0.307179, 0.213839)","(-129.171, 220.232, 29.0951)","(-150.781, 233.22, 30.4508)","(0.855881, -0.514377, -0.0536952)","(-150.781, 233.22, 30.4508)","(-162.109, 244.259, 35.7628)","(0.678915, -0.661604, -0.318362)","(-36.0242, 175.398, 56.6337)","(-91.7822, 189.963, 50.3408)","(0.961816, -0.251249, 0.108551)","(-91.7822, 189.963, 50.3408)","(-130.242, 197.949, 44.7912)","(0.969488, -0.201305, 0.139891)","(-130.242, 197.949, 44.7912)","(-152.196, 208.691, 47.5542)","(0.892565, -0.436702, -0.112334)","(-152.196, 208.691, 47.5542)","(-163.701, 219.041, 53.5317)","(0.693463, -0.623925, -0.360315)","(-38.9102, 170.403, 68.4745)","(-92.1018, 176.559, 64.9316)","(0.991202, -0.114713, 0.0660201)","(-92.1018, 176.559, 64.9316)","(-123.464, 177.326, 63.7248)","(0.998962, -0.0244499, 0.0384389)","(-123.464, 177.326, 63.7248)","(-139.507, 183.15, 66.933)","(0.92381, -0.335333, -0.184735)","(-139.507, 183.15, 66.933)","(-150.464, 192.164, 72.6719)","(0.715885, -0.588977, -0.374986)"
76413,30329608578,1,5,0,0,Right hand,158,"(-65.4467, 189.727, 56.4382)",43.02596780131239,-168.22400952269163,-71.64169794617237,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114D90F8> >,)","(-4.20049, 163.616, 78.7505)","(218.751, 128.071, 185.839)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,46.27351760864258,17.251665115356445,1581,52.214500427246094,16.478790283203125,1582,59.494232177734375,16.184362411499023,1583,57.205291748046875,15.400446891784668,1584,44.84789276123047,13.679880142211914,"(-10.0346, 193.334, 68.692)","(-10.0346, 193.334, 68.692)","(0, 0, 0)","(-10.0346, 193.334, 68.692)","(-25.3466, 230.227, 45.4823)","(0.331448, -0.798582, 0.502403)","(-25.3466, 230.227, 45.4823)","(-38.2838, 254.078, 32.0591)","(0.427351, -0.787885, 0.443406)","(-38.2838, 254.078, 32.0591)","(-49.8671, 269.75, 24.8455)","(0.557433, -0.754162, 0.347143)","(-20.0007, 180.49, 53.963)","(-77.0716, 213.62, 37.1973)","(0.838211, -0.486587, 0.246242)","(-77.0716, 213.62, 37.1973)","(-109.679, 233.312, 35.1833)","(0.854818, -0.516236, 0.0527975)","(-109.679, 233.312, 35.1833)","(-125.05, 246.716, 41.8647)","(0.71621, -0.624592, -0.311334)","(-125.05, 246.716, 41.8647)","(-132.749, 256.378, 50.6686)","(0.507505, -0.636897, -0.580345)","(-26.6238, 171.707, 56.9382)","(-85.0531, 196.357, 44.7973)","(0.904925, -0.38178, 0.188032)","(-85.0531, 196.357, 44.7973)","(-122.669, 216.769, 44.8648)","(0.878936, -0.476936, -0.00157601)","(-122.669, 216.769, 44.8648)","(-139.299, 233.313, 54.2039)","(0.658655, -0.65525, -0.369892)","(-139.299, 233.313, 54.2039)","(-146.311, 244.94, 63.9002)","(0.420285, -0.696885, -0.581129)","(-32.0974, 163.519, 62.6197)","(-87.6661, 178.578, 55.8339)","(0.958552, -0.259763, 0.117055)","(-87.6661, 178.578, 55.8339)","(-124.293, 193.344, 59.6032)","(0.92327, -0.372217, -0.0950161)","(-124.293, 193.344, 59.6032)","(-141.362, 207.88, 69.718)","(0.693986, -0.59099, -0.411234)","(-141.362, 207.88, 69.718)","(-148.394, 219.152, 79.6536)","(0.423867, -0.679436, -0.598918)","(-35.2754, 157.864, 74.0828)","(-88.357, 164.363, 69.6224)","(0.989154, -0.121104, 0.0831186)","(-88.357, 164.363, 69.6224)","(-118.42, 171.287, 75.4484)","(0.957558, -0.220557, -0.185572)","(-118.42, 171.287, 75.4484)","(-130.87, 180.682, 83.0834)","(0.716947, -0.541011, -0.439652)","(-130.87, 180.682, 83.0834)","(-137.508, 191.419, 91.7365)","(0.433751, -0.70156, -0.565397)"
76427,30329737574,1,5,0,0,Right hand,158,"(-38.187, 159.229, 97.5848)",0.7598655976662627,-69.16100736161297,-60.701906768269964,"(<Leap.Vector; proxy of <Swig Object of type 'Leap::Vector *' at 0x114D9710> >,)","(25.5594, 151.987, 126.835)","(248.413, 135.691, 238.681)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1580,46.273502349853516,17.251672744750977,1581,52.21448516845703,16.478797912597656,1582,59.49421310424805,16.184370040893555,1583,57.20527267456055,15.400453567504883,1584,44.847877502441406,13.679886817932129,"(3.63748, 176.784, 131.881)","(3.63748, 176.784, 131.881)","(0, 0, 0)","(3.63748, 176.784, 131.881)","(-40.9895, 188.643, 133.291)","(0.966009, -0.256699, -0.0305266)","(-40.9895, 188.643, 133.291)","(-70.8812, 193.307, 134.385)","(0.987402, -0.154055, -0.0361209)","(-70.8812, 193.307, 134.385)","(-91.546, 191.361, 135.375)","(0.994467, 0.0936098, -0.0476751)","(4.35396, 172.832, 110.314)","(-59.3529, 182.522, 88.3301)","(0.935675, -0.142328, 0.322886)","(-59.3529, 182.522, 88.3301)","(-95.0648, 181.581, 101.704)","(0.936197, 0.02468, -0.350608)","(-95.0648, 181.581, 101.704)","(-104.35, 177.449, 120.606)","(0.432671, 0.192528, -0.880755)","(-104.35, 177.449, 120.606)","(-104.242, 173.735, 135.314)","(-0.00712894, 0.244816, -0.969543)","(3.67621, 162.323, 105.958)","(-56.7618, 162.854, 83.2418)","(0.936034, -0.00821379, 0.351815)","(-56.7618, 162.854, 83.2418)","(-87.7373, 161.852, 112.756)","(0.723785, 0.0234017, -0.689629)","(-87.7373, 161.852, 112.756)","(-79.3272, 160.761, 136.537)","(-0.333095, 0.043226, -0.941902)","(-79.3272, 160.761, 136.537)","(-66.7958, 160.182, 147.538)","(-0.751048, 0.0346728, -0.659336)","(3.3195, 151.055, 104.486)","(-49.8518, 142.933, 82.8632)","(0.917198, 0.140106, 0.372985)","(-49.8518, 142.933, 82.8632)","(-73.9056, 142.184, 114.401)","(0.60634, 0.0188888, -0.794981)","(-73.9056, 142.184, 114.401)","(-60.1535, 146.768, 134.271)","(-0.559115, -0.186385, -0.807868)","(-60.1535, 146.768, 134.271)","(-44.4588, 149.985, 138.576)","(-0.94607, -0.193941, -0.259495)","(2.7994, 138.961, 109.677)","(-43.6917, 124.573, 87.0638)","(0.866343, 0.268113, 0.421384)","(-43.6917, 124.573, 87.0638)","(-64.321, 128.147, 110.458)","(0.65709, -0.113847, -0.745166)","(-64.321, 128.147, 110.458)","(-55.6304, 133.512, 124.503)","(-0.500439, -0.308954, -0.80877)","(-55.6304, 133.512, 124.503)","(-41.2972, 136.898, 128.665)","(-0.936542, -0.221237, -0.271923)"
76442,30329867730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
